Updated:    11/21/12                                                           0
ui3  address_2024_mp12r7.prn     Future Year: 2024              Traffic Devi   0
IntIdNS Address                  EW Address                  MMAControl   SyYear
   1 100th Ave                   Main St                     CBDSignal    0 2008
   2 102nd Ave                   Main St                     CBDSignal    0 2009
   3 100th Ave NE                NE 8th St                   CBDSignal    3 2011
   4 102nd Ave NE                NE 8th St                   CBDSignal    0 2008
   5 Bellevue Wy NE              NE 12th St                  CBDSignal    3 2012
   6 Bellevue Wy NE              NE 10th St                  CBDSignal    0 2007
   7 Bellevue Wy NE              NE 8th St                   CBDSignal    3 2012
   8 Bellevue Wy NE              NE 4th St                   CBDSignal    3 2012
   9 Bellevue Wy                 Main St                     CBDSignal    3 2012
  10 Bellevue Wy SE              SE Wolverine Wy             SB Signal    0 2008
  11 Bellevue Wy SE              SE 8th St    (5-Way)        SB Signal    0 2007
  12 Bellevue Wy SE              SE 10th St                  SB Signal    0 2008
  13 108th Ave SE                Bellevue Wy SE              SB Signal    0 2008
  14 112th Ave SE                Bellevue Wy SE              SB Signal    7 2011
  15 106th Ave NE                NE 12th St                  CBDSignal    0 2007
  16 106th Ave NE                NE 8th St                   CBDSignal    0 2008
  17 106th Ave NE                NE 4th St                   CBDSignal    0 2008
  18 106th Ave NE                NE 2nd St                   CBDSignal    0 2008
  19 106th Ave                   Main St                     CBDSignal    0 2007
  20 108th Ave NE                NE 12th St                  CBDSignal    3 2009
  21 108th Ave NE                NE 8th St                   CBDSignal    3 2011
  22 108th Ave NE                NE 4th St                   CBDSignal    3 2011
  23 108th Ave NE                NE 2nd St                   CBDSignal    0 2008
  24 108th Ave                   Main St                     CBDSignal    3 2011
  25 112th Ave NE                NE 12th St                  CBDSignal    3 2012
  26 112th Ave NE                NE 8th St                   CBDSignal    3 2012
  27 110th Ave NE                NE 8th St                   CBDSignal    0 1996
  28 Bellevue Wy NE              NE 6th St                   CBDSignal p  0 2006
  29 116th Ave NE                NE 12th St                  BRNSignal    **2012
  30 116th Ave NE                NE 8th St                   WLBSignal    4 2011
  31 Bellevue Wy NE              NE 2nd St                   CBDSignal    0 2007
  32 120th Ave NE                NE 12th St                  BRNSignal    **2011
  33 Old Bel-Red Rd              NE 8th St                   WLBStop S    0 2012
  34 124th Ave NE                Bel-Red Rd                  BRNSignal    **2012
  35 124th Ave NE                NE 8th St                   RV Signal    8 2011
  36 112th Ave                   Main St                     CBDSignal    3 2011
  37 130th Ave NE                Bel-Red Rd                  BRNSignal    **2011
  38 132nd Ave NE                Bel-Red Rd                  BRNSignal    0 2008
  39 140th Ave NE                NE 20th St                  BRNSignal    **2011
  40 140th Ave NE                Bel-Red Rd                  BRNSignal    **2011
  41 140th Ave NE                NE 8th St                   EB Signal    9 2011
  42 140th Ave                   Main St                     EB Signal    9 2011
  43 140th Ave SE                SE 8th St                   RV Signal    8 2011
  44 145th Pl SE                 Lk Hills Blvd               RV Signal    8 2011
  45 145th Pl SE                 SE 16th St                  RV Signal    8 2011
  46 143rd Ave NE                NE 8th St                   WLBSignal    0 2007
  47 148th Ave NE                NE 20th St                  BRNSignal    **2011
  48 148th Ave NE                Bel-Red Rd                  BRNSignal    **2011
  49 148th Ave NE                NE 8th St                   EB Signal    9 2011
  50 148th Ave                   Main St                     EB Signal    9 2011
  51 148th Ave SE                Lk Hills Blvd               EB Signal    9 2011
  52 148th Ave SE                SE 16th St                  EB Signal    9 2011
  53 148th Ave SE                SE 22nd St                  EB Signal    0 2007
  54 145th Pl SE                 SE 24th St                  EGTSignal    0 2007
  55 148th Ave SE                SE 24th St                  EB Signal    9 2011
  56 148th Ave SE                Landerholm Circle           EGTSignal    **2012
  57 148th Ave SE                SE 28th St                  EGTSignal    0 2012
  58 Bel-Red Rd                  NE 20th St                  XRDSignal    5 2011
  59 Bel-Red Rd                  NE 24th St                  BRNSignal    **2011
  60 156th Ave NE                Bel-Red Rd                  BRNSignal    **2011
  61 156th Ave NE                NE 24th St                  BRNSignal    **2011
  62 156th Ave NE                Northup Wy                  XRDSignal    5 2011
  63 156th Ave NE                NE 8th St                   XRDSignal    5 2011
  64 140th Ave NE                NE 24th St                  BT Signal    2 2011
  65 148th Ave SE                SE 8th St                   EB Signal    9 2011
  66 156th Ave NE                NE 15th St                  XRDSignal    0 2007
  67 156th Ave NE                NE 10th St                  XRDSignal    0 2007
  68 130th Ave NE                Northup Wy                  BRNSignal    **2011
  69 Bellevue Wy NE              NE 24th St                  NB Signal    1 2012
  70 156th Ave NE                NE 13th St                  XRDSignal    0 2007
  71 Lk Hills Connector          SE 7th Pl                   RV Signal    8 2011
  72 112th Ave NE                NE 4th St                   CBDSignal    3 2011
  73 116th Ave                   Main St                     WLBSignal    4 2011
  74 Bellevue Wy NE              Northup Wy                  NB Signal    1 2012
  75 164th Ave NE                NE 24th St                  NEBSignal    6 2011
