Updated: 11/21/12
ui3  Nodes_2024_mp12r7.Future Year:
IntId@     N     S     E     W
   1   981  5010  9999  5454  5478
   2  5455  5463  6159  5456  5454
   3   979  5417  5423  5418  5484
   4  5097  5412  9997  7071  5143
   5  1750  5490  5409  5403  5404
   6  5017  5409  5410  5415  5414
   7  1738  5410  5428  5420  5419
   8  2640  5429  5447  5436  5427
   9  1736  5448  5609  7106  7098
  10  5609  1736  7079  9999  6159
  11  5105  7079  5106  9997  7072
  12  5106  5105  3513  9997  7201
  13  1717  5500  7067  1716  7094
  14  1716  5501     0  5792  1717
  15  5020  9999  5407  5399  5403
  16  5021  5408  5430  5421  5420
  17  5022  5431  5449  5437  5436
  18  5025  5449  5450  1111  7107
  19  1735  5450  9999  7108  5457
  20  1749  5492  5405  5400  5399
  21  1739  5406  5432  5422  5421
  22  2641  5433  5451  5438  5437
  23  5027  5451  5452  5445  5444
  24  1734  5452  5111  5459  5458
  25  1748  5496  1120  1747  5401
  26  1740  5392  5034  5245  5402
  27  5031  1112  5434  7100  5422
  28  5018  5428  5429  5206     0
  29  1747  5504  5704  7888  1748
  30  1741  5707  5165  5802  5261
  31  5019  5447  1118  5443  3502
  32  5509  7891  6042  5272  7890
  33  1742     0     0  5091  6041
  34  1745  7898  5090  5513  5272
  35  1743  6028  5620  1744  6029
  36  1733  5442  5499  5643  5460
  37  5036  7893  9997  5037  5513
  38  5037  7894  5514  6252  5036
  39  1754  1751  6039  5538  6033
  40  1755  6039  5545  5606  6037
  41  1731  5545  5560  7081  6031
  42  5073  5560  5561  5554  9999
  43  1721  5561  7073  5587  3386
  44  5078  7073  1715  7104  9997
  45  1715  5078  1113  5579  6135
  46  5553  9997  9999  1730  7081
  47  1763  5539  6013  6173  6012
  48  1756  6013  5548  6026  5606
  49  1730  5546  5563  5549  5553
  50  5074  5563  6047  6046  5554
  51  1714  7074  1713  5584  5583
  52  1713  1714  5564  5580  5579
  53  1700  5564  6123  5608  1699
  54  6122  7090  9999  6123  3392
  55  6123  1700  6128  9997  6122
  56  6128  6123  6166     0  3395
  57  6166  6128  5200  9999  3395
  58  1757  6011  6026  5541  6174
  59  1762  7763  6011  1761  5330
  60  5099  6016  1761  6023  7763
  61  1761  5099  5542  5533  1762
  62  1758  5542  7075  5543  5541
  63  1729  6131  2903  6168  5550
  64  1765  6003  6010  7202  5519
  65  1722  6047  7074  9999  5587
  66  7075  1758  5551    86    82
  67  6131  5551  1729  9997    80
  68  1753  5066  5296  5038  5511
  69  5003  1117  5489  5488  5487
  70  5551  7075  6131    87  9997
  71  1719  3391  1720  6130  2900
  72  2642  8350  1119  5652  7110
  73  1732  5167  6129  9997  5085
  74  1769  6613  5150  5684  6615
  75  5057  6024  5537  5534  5533
  76  1637  5537  5552  5544  5543
  77  5066  2577  1753  5065  7102
  78  1768  6150  5173  5685  5684
  79  5058  6004  6005  2320  6499
  80  5065  5518     0  5519  5066
  81  1764  1110  5539  6017  5520
  82  1698  5571  7089  6051  6052
  83  5075  5565  5566  5559  5558
  84  1724  5566  1723  5586  5585
  85  6054  2901  5083  6180  6053
  86  1770  5568  5340  6124  6127
  87  1728  5552  5576  5607  2904
  88  1766  5205  5507  5511  5274
  89  1718  5499  7093  3387     0
  90  6124  6163     0  1776  1770
  91  1776  6164     0  5101  6124
  92  5101  6049  5344  5326  1776
  93  6156  5475  5476     0  5094
  94  1737  5481  6157  5484  5476
  95  5507  1766  7083     0  9999
  96   980  7097  5453  5425  9999
  97  5080  7086  5567  6048  5608
  98  5104  5893  5894  6096     0
  99  5895     0  6076  5896  6125
 100  2540  6157  9999  5477  5094
 101  5331  6126  5359  6127  5574
 102  5087  9010  3388  5277  3387
 103  6165    49    48  5002  5482
 104  6125  6071     0  5895  6070
 105  5083  6054  5084  5572  5569
 106  2900     0  3384  1719  5288
 107  5033  5034  8350  5800  5435
 108  5109  7076  5797   686  5780
 109  7067  1717  7069     0  7200
 110  9999     0     0     0     0
 111  1726  3108  6045     0  5557
 112  9999     0     0     0     0
 113  9999     0     0     0     0
 114  1767     0  6025  6210  5179
 115  5596  6001     0  6210  5614
 116  6210  5596     0  5067  1767
 117  5510     0  5600  5274  5067
 118  5067  6210  5510  7087     0
 119  5004  9999  5605  5008  5488
 120  1725  5556  1711     0  6045
 121  1751  7088  1754  9999     0
 122  5110  5797  5786  9997  5784
 123  5059  7085  6003  6499  9999
 124  5030  5434  5642  5435  9999
 125  5439     0     0  7110  5641
 126  5026  5432  5433  9999     0
 127  5501  7093  1716  9997  9997
 128  5032  5441  5442  3134  7099
 129  5096  5411  5412  5414  5413
 130  5012  5416  5417  5413  9999
 131  5086  6129  5555  5046  9997
 132  2901  7089  6054  7054     0
 133  1692  5595  6077  6074  5896
 134  1720     0  5570  3385  1719
 135  5107  3513  7094  9999  7062
 136  9999     0     0     0     0
 137  5016  5489  5490  9997  5491
 138  5053  7668  7235  5052  7115
 139  5506  5165  5167  8898  5653
 140  2904  9999  9999  1728  6168
 141  5010  5453   981  5465  9999
 142  5424  5423  7097  9997  9999
 143  5894  5104  1682     0  6097
 144  5463  5464  5455  3502  5465
 145  5426  5289     0  5427  5425
 146  5326  5101  9999  5590  5102
 147  5456  5466  9997  7098  5455
 148  9999     0     0     0     0
 149  9999     0     0     0     0
 150  5457  9997  9999  1735  7106
 151  5443  5467  9997  7107  5019
 152  5436    30  5467  5022  2640
 153  3387  9997  9999  5087  1718
 154  5023  5407  5408  6202  5415
 155  5458  5468  9999  1734  7108
 156  5444     0  5468  5027  1111
 157  5028  5462  9999  5460  5459
 158  5029  3024  5462  5446  5445
 159  5641  5642  3024  5439  5438
 160  9999     0     0     0     0
 161  9999     0     0     0     0
 162  5401     0  5394  1748  5400
 163  5446  9999     0  7099  5029
 164  5708   861  5710  5505  3131
 165  5505  7077  5707     0  5708
 166  9999     0     0     0     0
 167  9999     0     0     0     0
 168  9999     0     0     0     0
 169  5076  5576  5577  9999  5559
 170  9999     0     0     0     0
 171  5088  8502     0  5618  6133
 172  9999     0     0     0     0
 173  1712  1723  7086  5581  5580
 174  5595  2902  1692  6060  6120
 175  6252  7896  6253  7109  5037
 176  6253  6252     0  7101  6169
 177  5599  6042  5091  7899     0
 178  5035  5514     0  6169  6030
 179  5024  5430  5431     0  5206
 180  7077  5713  5505  5712   861
 181  5046  5093  5086  6040     0
 182  5562     0  9999  1699  1113
 183  9999     0     0     0     0
 184  5555  5086  3390  6027  9997
 185  6032  9997  6038  6033  5515
 186  3109  5619  5092  9999  3604
 187  1121  5345  5357     0  5356
 188  6006  7662  5228  1009  5906
 189  5803  5216     0  5520  7202
 190  6200  5405  5406  6203  6202
 191  3025  4817  4114     0  5800
 192  9999     0     0     0     0
 193  9999     0     0     0     0
 194  5048  7670     0  5532  5535
 195  2321  6005  7662  6007  9999
 196  9999     0     0     0     0
 197  5049  9997  7670  7113  1114
 198  5050  1125  1114  9999  5052
 199  5899     0  2602  6075  6074
 200  9999     0     0     0     0
 201  9999     0     0     0     0
 202  1693  8035  1694  6069  9997
 203  1694  1693     0  5893  6068
 204  5084  5083  6064  6056  5324
 205  1699  5562  7090  1700     0
 206  6053  7091  5081  6054  9999
 207  6052  2999  7091  1698  9999
 208  9999     0     0     0     0
 209  9999     0     0     0     0
 210  9999     0     0     0     0
 211  9999     0     0     0     0
 212  5681  5150  5178     0  5691
 213  5178  5681  5164     0  5388
 214  5171  5173  5184  5176  4179
 215  5184  5171  5493     0  5180
 216  5002  9997  5485  5487  6165
 217  5525  5615  6150     0  6614
 218  1683  2618  6092  6091  6093
 219  5286  5285  5291  5288  5277
 220  6110  6111  6117  6109  6114
 221  6114  6113  6115  6110  5503
