Updated: 01/25/13
ui3  tmc_2pm_2012.prn              Base Year: 2012
IntIdNB_L NB_T NB_R SB_L SB_T SB_R EB_L EB_T EB_R WB_L WB_T WB_R
   1   11   23    9  293   18   27   12  248   10    7  172  106
   2   16   29   47   35   39   24   15  455   27   43  398   39
   3  118  248  171   26  214   67   33  189   47  144  273   58
   4    0    0    0  122    0  161   98  535    0    0  611   94
   5   55  683  122  149  546   96  115  126   42  223  285  302
   6   71  751  103  118  829   88   86  220   64   74  203  209
   7  222  552  109  133  563   51  168  429   81  432  468  225
   8  224  697  126  232  659   52   32  237  139  174  307  181
   9  166  723  144  110  867   59   62  267  204  295  308  180
  10    0  858   28   37 1196    2    1    0    0   29    0   49
  11   37  930    2    8 1246   12   13    1   49    3    0    9
  12   11  891    0    0 1228    7   68    0    9    0    0    0
  13   50   25   78  154   53   16    5 1293   17  105  941   69
  14    0    0    0 1030    0  102   75 1333    0    0 1032  321
  15  104    0  167    0    0    0    0  462   63  206  845    0
  16  127  184  307  125  294   93   79  928   98  182 1090   38
  17   41  115   52  178  308  142   48  451   32   57  517   72
  18   44  123   30   37  257   58   34  180   80   54  235   45
  19    0    2    5  189    2  202   92  526    2    6  670  129
  20   52   43  135   29   25   24   24  512   53  124  955   56
  21   90  226  261   86  156   30   27 1028   55  136 1167   56
  22   56  162  152  180  297  122   69  721   61   91  643  114
  23   19  120   12   59  252  111   86  276   40   13  167   35
  24   60   42   40  180    0  137   43  511  113   93  622   50
  25  106  274   79  140  417  162  125  423   73  161  725   83
  26   88  366  200  396  507   44    0 1217  187  229 1557  232
  27   60  174  185  143  174   42   22 1246   61  179 1136  141
  28    0  972   59    0  990    0    0    0    0    0    0    8
  29   71  573  202   63  510  156  158  438   88  100  623   36
  30  186  663  217  254  538  516  218 1043  278  421 1399   46
  31   43  788   45   58  905   50   55  106   34   77  110  139
  32   28  111   58   68  140   80   36  620   49  104  747   50
  33    0    0    0    0    0  477  216 1445    0    0 1299   43
  34   71   92  318   60  232   61   47  678  113  383  979  103
  35   21  104   63  179  206  281  259  921   24   50  663   63
  36  200  299   87  107  651   78   83  508  337  192  460   37
  37   12    7    5   90    0  225  147 1008    4    1 1175   93
  38   13   31   23   21   72  110   52 1047   67   42 1122   24
  39  135  507  138  119  489  310  359  681  140  191  446  144
  40  152  478  134  123  544  140  202  579  131  119  653   97
  41  147  353   99  123  456  100  193  669  291   99  514  112
  42    8  441  110  120  651   10    7    4    6   96    9  116
  43  139  408   16   35  540  193  204  122  261   22   92   44
  44   11  447   63   69  715   25   15    6   11   61    9   67
  45   19  233   21   85  443  174  199  151   22   38  140   59
  46   74    2   87   22    4    9   10  802  117   97  674   14
  47  162  848   67  187 1128   95  365  472  141  244  387   92
  48  134  792  155   43 1306  183  223  502  108  263  436   24
  49  150  883   86  135 1370  149  202  549  190  205  430  108
  50   88 1092  137  118 1581   79   68  155   66  116  108   59
  51   31 1056  236   39 1535   27   16  108   14  244   86   39
  52   64 1240   70   45 1620   85   99  102   58   44   65   30
  53   53 1454  105   89 1998   15   11   70   40   73   51   73
  54   10   11   37  363   32  189  117   80    5   30   83   91
  55  131 1395   29   11 1660   41   54    4  300   19    3   11
  56    0 1661    0    0 2025   35   99    0   20    0    0    0
  57  212 1538   69   25 1973   11    0    0  170   66   13   25
  58    0  354  291    0  589   92  118  474    4  207  403   27
  59    0  429  126    1  593  257  210  694   39  104  443   13
  60    9  289  160   64  675  321  151  420   39  202  395   21
  61  188  406   86  133  772   44   29  473  324   68  301   53
  62  233  499   77  253  806   57   50  350  328   61  272   72
  63   79  419  155  153  552  245  319  444   83  201  307   97
  64  113  381  422   63  341   71   90  228   75  584  377  134
  65   44 1199    9   15 1681   93   93    2   61    7    3   11
  66   50  751   55  199 1154   23   12    4   13   57    5  146
  67    8  671   74  112 1012    3    3    1    5   80    0   54
  68  114  102  114   73   92  111  133  836   74   99  782   85
  69  116  798   24   20  507   91  114   59   60   44  101   62
  70   35  690   47  266  990   28   20    8   33   73    7  171
  71  442  543   31   30 1057  408   63   61  390   47   54   12
  72   55  345  192  228  676   67   42 1189  127    0  779   50
  73  390  763    2    4  908  343  243    1  360    5   10    9
  74   25  657  404  263  715    2   44   72   65  258   31  401
  75   64  110   62   26  174   21   34  371  152   52  189    8
  76   94  199   37   64  308   36   46  429  187   43  191   27
  77   57   67  259   27   42   14   19  206   32  116  242   41
  78  313  398  145  131  407   32  108  134  298  374  260  241
  79  130  840  111  107  629   55   56   48   45  199  239  415
  80    0    0    0  112    0   67  185  297    0    0  325  221
  81   89 1124  118  665 1087  114  275  354   57  204  362  544
  82   37  677  214  186  831   24   20   44   10  220   70  238
  83   24  424   13   27  534   88  118   97   48   15   47   28
  84   41  258   24   37  349  184  124  171   61   22  110   20
  85  226  910   57   35 1171   51   17    4  190   95   30   55
  86  496  184    2  148  307  391  227  218  102  231  322  181
  87   81  207   43   42  280  158  213  264  126   30  184   21
  88   88  186   94  473  153  147  117  505   30   83  476  532
  89    0  297  122  365  869    0    0    0    0  130    0  159
  90    0    0    0   60    0  297   49  420    0    0  391   10
  91    0    0    0  571    0  272   46  381    0    0  105   32
  92   33   34   74   82   60   43   55  518  382   34   78   98
  93   20  184    7  208  149    0   12    2   10    1   26  297
  94    3   59   17   42   61    5    3  208    4   18  362   75
  95    6  291    0    0  338    8   20    0    7    0    0    0
  96    0  268   30  126  401    0    3    8    4   89    0  232
  97   46  290   27   25  481   19   18   80   54   32   43   31
  98    0  669   99  367 1802    0    0    0    0  129    0  252
  99  152    0   61    0    0    0    0  344  312  102  445    0
 100    4    0    4   45    1   15   13  181    9    6  153   64
 101  128  497  251   93 1338   95  186  230  411  392  259  515
 102   30   53   86  393  254   12   10  405  134  201  283  184
 103   60   29   45   43   13   19   21  162   35   22  360   57
 104    0    0    0   74    0  109   66  454    0    0  384   24
 105  550 1061  188  150 1220   99    0    0    0  263  195  129
 106   88    0   35    0    0    0    0  438  146  136  914    0
 107   31  367   73  158  652   16   62  135   96   30   27   24
 108   40 1198   16    0    0    0   24    3    0    0  193   36
 109    7   64    0    0  136   21   13    0   12    0    0    0
 110    0    0    0    0    0    0    0    0    0    0    0    0
 111   60  131    0    0  357   79  117    0  122    0    0    0
 112    0    0    0    0    0    0    0    0    0    0    0    0
 113    0    0    0    0    0    0    0    0    0    0    0    0
 114  204    0  423    0    0    0    0  390  110  262  541    0
 115    0    0    0  111    0    7    4   37    0    0   91  516
 116    0    0    0  114    0  170  313  545    0    0  641  292
 117  162    0  115    0    0    0    0  416   59  133  603    0
 118    0  679   59  204  429    0    0    0    0   39    0  212
 119   75   14   12    7    5    9   21   59   42   32  202    9
 120  153  199    0    0  507   24   33    0  357    0    0    0
 121    0  846   48   27  680    0    0    0    0   63    0   75
 122   93 1042    3    0    0    0    2    0    0    0    0    3
 123    4  418   83   46  291    1    1    2    4  145    4  237
 124    5  158   91  115  278    2    0   20    0   38   26   26
 125    3    0   95    0    0    0    0 1287   25   65  707    0
 126    0  336   11   21  570    0    0    0    0   10    0   23
 127    4  327   21   27  993    4    2    0    2  113    0   59
 128   52  429    8  123  703   34  109  172  150    9   62   84
 129   29  127   98   23  203  200  147  206   31  113  235   47
 130    6  194  162  109  169    7    7   28    3  159   43  190
 131   16  780  217  134 1169   13   38    6    7  425    8  192
 132    0  835   92   35 1228    0    0    0    0  114    0   95
 133   43  253   10  589  473  350  121  104   66   17  100  171
 134  792    0  129    0    0    0    0  498  925  159  230    0
 135   49  852    3   10 1284    6   12    5   30    3   13    8
 136    0    0    0    0    0    0    0    0    0    0    0    0
 137    0 1177   10    6  754   25    0    0   23    0    0    7
 138   28  422   92   34  322   37  420  250   85   52   69   18
 139  267  602    0    0 1133  166  375    0  232    0    0    0
 140   23    0    6   41    1   36   32  647   13    1  402   44
 141   20  205   29  126  376   16    5   14   25   23   20  143
 142   16  345   24   18  418   13   10    2   18   39    2   29
 143   57  476    0    0 1522  228  112    0   71    0    0    0
 144   28   13   42   15   10   10   12  119   33   38  149   15
 145    0    0    0  258    0   27   11  248    0    0  323  254
 146    7   14    4  186   20  466  143  162   20    5  104  143
 147    0    0    0   23    0   26   18  626    0    0  525   38
 148    0    0    0    0    0    0    0    0    0    0    0    0
 149    0    0    0    0    0    0    0    0    0    0    0    0
 150   10    1   26   16    4   45   22  517   22   43  749   25
 151   15   10   43   39   29   64   14  165   14   17  209   24
 152   22    9   52   45   15   53   11  461   25   58  562   91
 153   25    2  258   56    2   26    8  287   10   52  308    7
 154   82  175   38   21  192   56   51  394  121   35  315   35
 155    5    0   15   44    1   14    4  718    6   20  782   17
 156   30    0   54    0    0    0    0  177   24   31  216    0
 157    0    0    9  150    2  122   47  692   19    1  613   62
 158   25  136   27  251  228   63   51  266   25   19  109   20
 159   14   65  109  142  211   96   63  927   32   65  594   22
 160    0    0    0    0    0    0    0    0    0    0    0    0
 161    0    0    0    0    0    0    0    0    0    0    0    0
 162   52    0  112    0    0    0    0  724   47   99 1051    0
 163    0    0    0   73    0   57   68  232    0    0   63    9
 164   35    0    8    0    0  258  161  378   29   10  901    0
 165  169  703    6    0 1055  131  120    7  225    0    0    0
 166    0    0    0    0    0    0    0    0    0    0    0    0
 167    0    0    0    0    0    0    0    0    0    0    0    0
 168    0    0    0    0    0    0    0    0    0    0    0    0
 169    7  287    6   14  423   50   45    6   18    3    5   10
 170    0    0    0    0    0    0    0    0    0    0    0    0
 171    0    0    0  148    0  235  181  626    0    0  434   58
 172    0    0    0    0    0    0    0    0    0    0    0    0
 173   16  253   65   17  355   34   39  110   17  111   72   11
 174   40  484   32  119 1144  420  578   70  145  106   46   52
 175   10   14   34   37   57   92   49 1024   20   69 1126   36
 176    0    0    0   13    0   53   31 1209    0    0  701   13
 177    0    0    0   51    0  203  117  135    1    1  165   33
 178    0    0    0   70    0  106   59 1202    0    0  781   29
 179    0  510    0    0  449    0   17    0   71    0    0    0
 180   24  655   17   28  970   12   70    2   70   71    1   29
 181    0  239  149   25  421    0    0    0    0  264    0   29
 182   85    0   89    0    0    0    0  996   16   20  676    0
 183    0    0    0    0    0    0    0    0    0    0    0    0
 184   15  530   31   18 1475   18    4    0   26   77    0   68
 185   67   11  129   46    5   17   26 1069   51   62  826   11
 186   43  604    0    0  679   54   27    0   28    0    0    0
 187   34  617    0    0  327   20   87    0   47    0    0    0
