Int |   NORTHBOUND      SOUTHBOUND      EASTBOUND       WESTBOUND   
 #  |  LT   TH   RT    LT   TH   RT    LT   TH   RT    LT   TH   RT    
---------------------------------------------------------------------
  1     13   30    4   316   17   21     9  293   13     7  180   99 
  2     15   22   55    34   40   29    13  440   38    60  412   35 
  3    119  251  172    23  224   60    34  207   48   150  290   59 
  4      0    0    0   126    0  165    97  553    0     0  625   90 
  5     46  817  124   175  518   99   123  144   68   198  372  389 
  6     71  800   95   131  839   87    89  234   56    83  220  229 
  7    167  589  114   151  584   83   166  436  102   394  518  220 
  8    225  739  111   244  641   50    26  232  135   175  283  212 
  9    169  610  142   133  826   66    52  251  188   298  324  189 
 10      0  882   29    38 1247    2     2    0    1    35    0   56 
 11     50 1069    1     9 1252   14    18    1   45     2    0   12 
 12     14  949    0     0 1209    8    81    0    7     0    0    0 
 13     58   29   84   189   70   11     6 1254   18   124 1016   64 
 14      0    0    0     0 1170   88    72 1439    0     0 1137  351 
 15    116    0  180     0    0    0     0  465   69   225  946    0 
 16    143  215  326   129  294   79   100  928  103   177 1122   42 
 17     47  122   61   205  327  147    47  462   34    67  535   76 
 18     46  123   38    44  270   56    41  177   94    59  253   48 
 19      0    2    4   206    2  202    90  553    3     5  728  139 
 20     58   44  151    29   30   24    26  532   52   145 1081   60 
 21     98  250  263    90  171   31    27 1091   49   149 1227   59 
 22     53  171  153   199  341  138    72  760   64   108  721  127 
 23     14  122   14    76  269  114    88  305   39    15  177   44 
 24     69   51   36   206   11  151    44  526  137   112  635   50 
 25    125  362  176   121  395  127   130  567   67   193 1019  124 
 26     71  295  226   535  621   38     0 1433  136   178 1457  252 
 27     63  183  195   150  183   44    23 1312   64   188 1196  148 
 28      0 1101   58     0  945    0     0    0    0     0    0    6 
 29    158  381  212   109  449  224   222  609  147   156  796   54 
 30    185  725  186   269  573  486   227 1099  292   468 1461   24 
 31     40  807   46    56  972   44    53   96   36    77  122  152 
 32     24   96   65    73  143   93    45  700   52   122  790   45 
 33      0    0    0     0    0  440   289 1321    0     0 1147   40 
 34     97  202  351    72  226   53    31  706  141   387  929   96 
 35     24   92   60   192  232  302   260  963   28    62  678   58 
 36    207  310   78   125  703   75    78  583  377   192  486   42 
 37      7    3    7    90    0  235   140 1038    3     1 1285   88 
 38     13   30   22    21   73  119    53 1133   68    45 1143   24 
 39    137  564  138   139  551  339   372  692  140   192  456  146 
 40    157  494  139   135  567  104   221  633  158   129  719  102 
 41    134  369  109   133  488  107   217  733  332   107  513  100 
 42      9  469  120   128  692   16     5    2    2   109    7  126 
 43    143  425   14    30  600  214   211  134  302    25  103   40 
 44      9  490   74    79  815   30    16    8    8    71    8   71 
 45     20  254   17    97  519  195   222  172   27    37  155   69 
 46     77    1   85    25    3   10    11  832  104    94  689   15 
 47    168  888   67   174 1140   77   398  502  129   271  398   92 
 48    139  801  166    40 1416  189   261  529   99   303  490   26 
 49    146  969   74   149 1410  156   216  579  192   209  399  103 
 50     86 1172  130   128 1635   84    77  175   68   117  118   59 
 51     39 1159  254    43 1675   27    20  112   12   301   83   45 
 52     69 1327   82    52 1681   86   102  116   62    52   63   30 
 53     68 1551  110    75 2030   17    10   75   35    79   45   85 
 54      7    8   46   385   36  210   133   92    7    29  111   89 
 55    149 1534   24     8 1711   36    51    5  309    15    2   12 
 56      0 1355    0     0 2047    8    48    0    5     0    0    0 
 57    268 1522   83    17 1963   11     0    0  217    59   14   24 
 58      0  390  307     0  762   92   122  547    9   199  380   34 
 59      4  483  131     1  676  267   219  700   36   102  441   15 
 60      8  306  169    84  786  375   183  459   41   229  429   23 
 61    187  423   97   167  873   52    26  500  345    79  309   61 
 62    230  502   79   279  909   55    55  396  350    65  298   79 
 63     87  434  157   159  587  269   352  475   89   218  324   94 
 64    118  406  440    76  363   81    85  238   71   673  417  141 
 65     48 1330    6    11 1753   94   106    3   69     9    2   13 
 66     69  756   46   202 1248   24    17    6    9    64    8  150 
 67      7  670   79   122 1051    3     4    1    5    79    0   54 
 68    114  113  129    69   85  102   141  848   71   104  802   93 
 69    196  978   31    33  654  129   120   56   70    66  311   80 
 70     34  741   53   275 1090   27    11    6   27    64    8  171 
 71    435  550   29    48 1170  430    73   68  418    47   60   21 
 72     59  401  197   266  749   63    37 1193  132     0  805   42 
 73    425  780    1     2 1003  390   260    1  378     7   14   12 
 74     25  885  323   261  733   22    40   88   79   407   62  328 
 75     68  118   64    31  210   27    36  417  184    56  195    7 
 76     96  221   42    87  346   38    47  465  225    48  207   31 
 77     64   75  300    30   39   16    17  222   28   107  276   40 
 78    447  322  101   135  318   38   155  157  318   336  403  274 
 79    136 1026  429   100  625   95    54   59   36   298  292  348 
 80      0    0    0   125    0   64   213  314    0     0  350  257 
 81     97  905  107   379 1419  157   331  507  104   240  329  405 
 82     44  685  228   221  867   23    26   51   10   216   79  276 
 83     20  447   12    37  574   88   119  120   48    18   57   35 
 84     36  270   30    40  364  219   136  178   63    21  120   28 
 85    189  841   63    48 1240   68    15   22  153    87   29   58 
 86    439  194    7   163  484  408   274  229  150   235  265  163 
 87     87  254   53    50  316  154   240  275  132    23  192   21 
 88    111  187   91   481  160  146   105  550   28    79  515  528 
 89      0  305  113   393  953    0     0    0    0   126    0  182 
 90      0    0    0    63    0  313    52  442    0     0  412   11 
 91      0    0    0   601    0  286    48  401    0     0  110   34 
 92     32   24   86    78   49   37    55  502  257    85  101   87 
 93     42  304    0     0  208  129   148    0   10     0    0    0 
 94      5   62   15    48   60    7     5  207    5    17  377   88 
 95      5  303    0     0  323    4    34    0   10     0    0    0 
 96      0  305   23   140  404    0     2    7    3    77    0  240 
 97     45  289   34    20  497   22    12  105   74    25   47   27 
 98      0  502   88   445 1798    0     0    0    0   125    0  225 
 99    152    0   61     0    0    0     0  344  312   102  445    0 
100      3    0    4    46    1   16    14  191   10     5  159   78 
101    216  426  278   102 1224  132   164  279  376   388  289  515 
102     29   52   97   424  260   13    11  425  155   204  297  186 
103     68   34   49    40   16   21    21  156   38    22  405   67 
104      0    0    0    75    0  113    70  460    0     0  428   28 
105    325 1104  200   174 1221  141     0    0    0   220  169  182 
106    102    0   42     0    0    0     0  467  179   156  949    0 
107     33  404   80   187  683   16    73  156  103    28   28   26 
108     43 1270   19    17 2576    8    36    4   23   185    3   26 
109      7   71    0     0  180   22    17    0   16     0    0    0 
110      1    0    1    10    0   12    37  210    4     2  270   30 
111     54  149    0     0  322   86   105    0  116     0    0    0 
112      3   13   17    32   42    9     8  135    6    19  154   15 
113    118   98    0     0  562   32    23    0   53     0    0    0 
114    225    0  448     0    0    0     0  408  122   285  593    0 
115      0    0    0   110    0    7     5   43    0     0  109  669 
116      0    0    0   129    0  194   351  540    0     0  658  336 
117    181    0  138     0    0    0     0  453   89   168  703    0 
118      0  743   62   231  454    0     0    0    0    37    0  228 
119     78   12   13     8    6    8    23   71   51    37  219    9 
120    167  202    0     0  540   23    31    0  379     0    0    0 
121      0  880   47    31  685    0     0    0    0    63    0   93 
122     89 1150    2     0 2311    3     1    0   78     0    0    3 
123      5  464   82    43  290    1     2    2    3   177    7  290 
124      4  199  112   130  260    2     0   19    0    38   26   36 
125      1    0  106     0    0    0     0 1335   28    55  688    0 
126      0  380   12    21  620    0     0    0    0    11    0   23 
127      3  299   28    29 1122    3     1    0    1   143    0   65 
128     55  437    7   136  714   48   126  188  154    11   65   89 
129     24  138  101    22  219  233   137  200   32   113  269   43 
130     10  223  164   103  158    6     8   26    4   162   47  198 
131     18  728  199   118 1271    6    54    8   30   421    6  211 
132      0  889  105    30 1276    0     0    0    0   129    0  111 
133     48  229    8   723  468  304   121  129   84    10   88  162 
134    859    0  142     0    0    0     0  536  992   166  244    0 
135     64  958    2     9 1473    6    12    2   38     4   16   10 
136     58 1227    0     5  864   44    13    2   24     2    0    3 
137      0 1248   11     9  783   35     0    0   22     0    0   11 
138     52  435  123    61  342   42   362  403   78    44   69   21 
139    267  574    0     0  910  176   316    0  275     0    0    0 
140     29    0    7    44    1   37    38  679   17     1  420   41 
141     15  220   29   149  401   15     8   16   33    22   25  160 
142     15  403   26    20  413   10     5    1   17    31    2   28 
143     49  457    0     0 1606  241   138    0   80     0    0    0 
144     30   18   44    18   12    8    10  113   35    40  158   14 
145      0    0    0   286    0   24    10  249    0     0  314  249 
146     10   15    4   234   21  550   150  174   24     8  143  146 
147      0    0    0    23    0   29    18  612    0     0  548   51 
148      0   55   51   120   31    0     0    0    0    22    0  133 
149     38 1080    0     0 1147   53     0    0   42     0    0    0 
150     11    2   29    18    4   41    12  559   23    54  816   29 
151     16    7   44    41   37   68    12  179   14    14  246   22 
152     22    8   53    50   14   58     5  487   29    61  658  110 
153     32    2  282    76    2   37     9  271   11    49  372    4 
154     93  188   34    23  204   60    56  436  146    37  334   30 
155      5    0   15    44    1   14     4  718    6    20  782   17 
156     31    1   56     0    0    0     0  197   20    35  245    0 
157      0    0    8   156    2  129    44  709   16     1  660   69 
158     25  140   36   278  242   68    54  307   22    21  113   19 
159     14   64  130   149  227  117    68  975   33    65  634   17 
160     36  176   14    10  163   10    18    2  201    33    0   19 
161      0  243    7     7  181    0     0    0    0     6    0   11 
162     59    0  135     0    0    0     1  725   45   105 1132    0 
163      0    0    0    73    0   55    75  257    0     0   67   13 
164      0    0    0     0    0    0     0    0    0     0    0    0 
165    162  724    3     0 1160  126   134    9  238     0    0    0 
166     31   41    0     0    8    5    46    0    8     0    0    0 
167      2    0    6     0    0    0     0   31   11     9   27    0 
